#Job Id,CPU Burst (seconds)
1,5
2,9
3,1
4,4
5,2
6,2
7,9
8,2
9,6
10,4
11,8
12,38
13,3
14,18
15,9
16,9
17,2
18,9
19,1
20,1
21,3
22,34
23,1
24,1
25,5
26,1
27,31
28,4
29,2
30,6
31,3
32,6
33,7
34,3
35,9
36,5
37,5
38,7
39,6
40,33
41,2
42,7
43,5
44,6
45,1
46,8
47,9
48,35
49,14
50,3
51,2
52,2
53,2
54,2
55,5
56,2
57,6
58,2
59,9
60,5
61,8
62,8
63,3
64,1
65,7
66,30
67,5
68,2
69,2
70,7
71,3
72,7
73,4
74,6
75,4
76,3
77,38
78,7
79,9
80,2
81,1
82,3
83,5
84,5
85,7
86,8
87,1
88,9
89,3
90,2
91,8
92,3
93,7
94,2
95,6
96,7
97,6
98,3
99,17
100,8
